,Time,Country,Young to Working Age Dependency Ratio
92,2042,Afghanistan,55.57679491620241
93,2043,Afghanistan,54.55093885755685
94,2044,Afghanistan,53.575505696836665
95,2045,Afghanistan,52.643257622615394
96,2046,Afghanistan,51.75629825784503
97,2047,Afghanistan,50.90446779253467
98,2048,Afghanistan,50.082953373916396
99,2049,Afghanistan,49.30082367720369
100,2050,Afghanistan,48.55447319053364
101,2051,Afghanistan,47.83425499940189
102,2052,Afghanistan,47.12477537811169
103,2053,Afghanistan,46.433792555454396
104,2054,Afghanistan,45.76727494172701
105,2055,Afghanistan,45.12470915457823
106,2056,Afghanistan,44.49898431529968
107,2057,Afghanistan,43.88794812301378
108,2058,Afghanistan,43.29497341674219
109,2059,Afghanistan,42.708706848720695
110,2060,Afghanistan,42.13114368784645
111,2061,Afghanistan,41.56278941304479
112,2062,Afghanistan,40.997380364473344
113,2063,Afghanistan,40.444898719637514
114,2064,Afghanistan,39.91400518844726
115,2065,Afghanistan,39.39582187828861
116,2066,Afghanistan,38.88901951919389
117,2067,Afghanistan,38.40730907774063
118,2068,Afghanistan,37.948803055533226
119,2069,Afghanistan,37.49553623017429
120,2070,Afghanistan,37.03443494006232
121,2071,Afghanistan,36.587341692911
122,2072,Afghanistan,36.161501799862314
123,2073,Afghanistan,35.73928006105122
124,2074,Afghanistan,35.33041226135871
125,2075,Afghanistan,34.940015874597215
126,2076,Afghanistan,34.568436598739915
127,2077,Afghanistan,34.23216993535589
128,2078,Afghanistan,33.92138777610267
129,2079,Afghanistan,33.62467062372893
130,2080,Afghanistan,33.35089860498229
131,2081,Afghanistan,33.08782630316505
132,2082,Afghanistan,32.82459004786871
133,2083,Afghanistan,32.56749710573379
134,2084,Afghanistan,32.32993516064719
135,2085,Afghanistan,32.111350668779764
136,2086,Afghanistan,31.90282497122184
137,2087,Afghanistan,31.698252853475612
138,2088,Afghanistan,31.494276048887954
139,2089,Afghanistan,31.295510023991262
140,2090,Afghanistan,31.100397700093012
141,2091,Afghanistan,30.90057632153632
142,2092,Afghanistan,30.700350828404556
143,2093,Afghanistan,30.509985120157186
144,2094,Afghanistan,30.319945522942295
145,2095,Afghanistan,30.132343905195935
146,2096,Afghanistan,29.95594015927503
147,2097,Afghanistan,29.776806945985552
148,2098,Afghanistan,29.59734546813176
149,2099,Afghanistan,29.424968054614308
150,2100,Afghanistan,29.261770463887967
151,1950,Bangladesh,74.8825542842334
152,1951,Bangladesh,74.4870234632761
153,1952,Bangladesh,74.2230818596007
154,1953,Bangladesh,74.12410828293652
155,1954,Bangladesh,74.20887583523375
156,1955,Bangladesh,74.45462007283642
157,1956,Bangladesh,74.81429253127538
158,1957,Bangladesh,75.27789071029719
159,1958,Bangladesh,75.90462180338378
160,1959,Bangladesh,76.58288970102647
161,1960,Bangladesh,77.22504159506039
162,1961,Bangladesh,77.94011544744943
163,1962,Bangladesh,78.78993128239578
164,1963,Bangladesh,79.85523310758728
165,1964,Bangladesh,81.10403655397495
166,1965,Bangladesh,82.1860915163765
167,1966,Bangladesh,83.06098965047947
168,1967,Bangladesh,83.88260371604476
169,1968,Bangladesh,84.62579922648695
170,1969,Bangladesh,85.38926342420694
171,1970,Bangladesh,85.97785045019467
172,1971,Bangladesh,86.81193507359266
173,1972,Bangladesh,87.78728250150417
174,1973,Bangladesh,88.29717209541639
175,1974,Bangladesh,88.58036059595942
176,1975,Bangladesh,88.40319006897275
177,1976,Bangladesh,87.93895305995736
178,1977,Bangladesh,87.61954698601122
179,1978,Bangladesh,87.45508785623345
180,1979,Bangladesh,87.45188691425939
181,1980,Bangladesh,87.57306402500818
182,1981,Bangladesh,87.67632992039358
183,1982,Bangladesh,87.60917353971334
184,1983,Bangladesh,87.28688466138176
185,1984,Bangladesh,86.73303738283683
186,1985,Bangladesh,85.99956101295298
187,1986,Bangladesh,85.07150145617184
188,1987,Bangladesh,83.90332980993618
189,1988,Bangladesh,82.60038185065109
190,1989,Bangladesh,81.31368743009006
191,1990,Bangladesh,80.00054624077896
192,1991,Bangladesh,78.4786687359443
193,1992,Bangladesh,76.81839394675303
194,1993,Bangladesh,75.14876733828034
195,1994,Bangladesh,73.43179323571285
196,1995,Bangladesh,71.66594184301374
197,1996,Bangladesh,69.86178934340762
198,1997,Bangladesh,68.08182354849264
199,1998,Bangladesh,66.39522863696163
200,1999,Bangladesh,64.80274809413984
201,2000,Bangladesh,63.30982627974506
202,2001,Bangladesh,62.04660436752313
203,2002,Bangladesh,60.981534965833205
204,2003,Bangladesh,59.99768570769105
205,2004,Bangladesh,59.01743742239663
206,2005,Bangladesh,58.02951041327154
207,2006,Bangladesh,57.19709611077328
208,2007,Bangladesh,56.44375378330155
209,2008,Bangladesh,55.73343417148752
210,2009,Bangladesh,54.871590787081544
211,2010,Bangladesh,53.69374821560646
212,2011,Bangladesh,52.38234272669935
213,2012,Bangladesh,50.93761830883633
214,2013,Bangladesh,49.42052024635192
215,2014,Bangladesh,47.925873291209356
216,2015,Bangladesh,46.46958279672896
217,2016,Bangladesh,45.031959439474576
218,2017,Bangladesh,43.619876401803644
219,2018,Bangladesh,42.309649068268726
220,2019,Bangladesh,41.13001393966271
221,2020,Bangladesh,40.041901365538514
222,2021,Bangladesh,39.06234660815238
223,2022,Bangladesh,38.19756558858694
224,2023,Bangladesh,37.428815068668555
225,2024,Bangladesh,36.76918810004718
226,2025,Bangladesh,36.21628403178796
227,2026,Bangladesh,35.75316728826362
228,2027,Bangladesh,35.34145622075555
229,2028,Bangladesh,34.932142185176005
230,2029,Bangladesh,34.51878839737662
231,2030,Bangladesh,34.11336075727062
232,2031,Bangladesh,33.702828473020205
233,2032,Bangladesh,33.30590481382528
234,2033,Bangladesh,32.90810040561312
235,2034,Bangladesh,32.47660224163019
236,2035,Bangladesh,32.03456277752273
237,2036,Bangladesh,31.590564474920836
238,2037,Bangladesh,31.153415392146655
239,2038,Bangladesh,30.720936184682103
240,2039,Bangladesh,30.281685100432874
241,2040,Bangladesh,29.84377718042127
242,2041,Bangladesh,29.417783398360527
243,2042,Bangladesh,29.010681790124092
244,2043,Bangladesh,28.630008836888937
245,2044,Bangladesh,28.279334948394325
246,2045,Bangladesh,27.960760749662633
247,2046,Bangladesh,27.67722361707523
248,2047,Bangladesh,27.427374682848754
249,2048,Bangladesh,27.20509520501626
250,2049,Bangladesh,27.00525392926643
251,2050,Bangladesh,26.831962807313214
252,2051,Bangladesh,26.685550364976567
253,2052,Bangladesh,26.567049999044567
254,2053,Bangladesh,26.47090668501878
255,2054,Bangladesh,26.3952981770575
256,2055,Bangladesh,26.34201201332438
257,2056,Bangladesh,26.297661942929974
258,2057,Bangladesh,26.25219372072854
259,2058,Bangladesh,26.20175626238428
260,2059,Bangladesh,26.150964766962126
261,2060,Bangladesh,26.102030920627726
262,2061,Bangladesh,26.048949852904425
263,2062,Bangladesh,25.99885521174977
264,2063,Bangladesh,25.95341724262854
265,2064,Bangladesh,25.905994293070876
266,2065,Bangladesh,25.858319950897712
267,2066,Bangladesh,25.818594796227927
268,2067,Bangladesh,25.7812501565741
269,2068,Bangladesh,25.742827549474335
270,2069,Bangladesh,25.70454419607727
271,2070,Bangladesh,25.655686203989227
272,2071,Bangladesh,25.598497536460307
273,2072,Bangladesh,25.5435215500306
274,2073,Bangladesh,25.490861976685945
275,2074,Bangladesh,25.435547376956563
276,2075,Bangladesh,25.377697328810438
277,2076,Bangladesh,25.316216859121244
278,2077,Bangladesh,25.25356513117047
279,2078,Bangladesh,25.202347329178405
280,2079,Bangladesh,25.164567039120953
281,2080,Bangladesh,25.13840551155421
282,2081,Bangladesh,25.12030440553783
283,2082,Bangladesh,25.10445501525046
284,2083,Bangladesh,25.100016631694043
285,2084,Bangladesh,25.10898572213612
286,2085,Bangladesh,25.12034150449869
287,2086,Bangladesh,25.131616294767294
288,2087,Bangladesh,25.146687376288117
289,2088,Bangladesh,25.16451443727139
290,2089,Bangladesh,25.182561037847474
291,2090,Bangladesh,25.198469656368346
292,2091,Bangladesh,25.208777651778448
293,2092,Bangladesh,25.215433119281126
294,2093,Bangladesh,25.218288317596272
295,2094,Bangladesh,25.222476379831203
296,2095,Bangladesh,25.224422552504077
297,2096,Bangladesh,25.220307048038453
298,2097,Bangladesh,25.213251138854844
299,2098,Bangladesh,25.19981135366019
300,2099,Bangladesh,25.18425580006804
301,2100,Bangladesh,25.170929344805153
302,1950,Brazil,77.22620736113649
303,1951,Brazil,77.69950273598062
304,1952,Brazil,78.19235585686218
305,1953,Brazil,78.67589893250894
306,1954,Brazil,79.15611762096918
307,1955,Brazil,79.68687463286318
308,1956,Brazil,80.25678532285838
309,1957,Brazil,80.84958676774767
310,1958,Brazil,81.46478211708275
311,1959,Brazil,82.10208196164224
312,1960,Brazil,82.7414451080625
313,1961,Brazil,83.30313275886867
314,1962,Brazil,83.69380202146675
315,1963,Brazil,83.83814748630219
316,1964,Brazil,83.63101164746088
317,1965,Brazil,83.15115259656311
318,1966,Brazil,82.5419344104149
319,1967,Brazil,81.78529525660973
320,1968,Brazil,80.87960028316104
321,1969,Brazil,79.85376984241606
322,1970,Brazil,78.74429791250172
323,1971,Brazil,77.57632998149107
324,1972,Brazil,76.35395549808291
325,1973,Brazil,75.08896670893776
326,1974,Brazil,73.77835982155787
327,1975,Brazil,72.44697066863685
328,1976,Brazil,71.13906924687707
329,1977,Brazil,69.86179869073193
330,1978,Brazil,68.63625266841925
331,1979,Brazil,67.4993140809044
332,1980,Brazil,66.482428625678
333,1981,Brazil,65.59664166569867
334,1982,Brazil,64.82687032780913
335,1983,Brazil,64.14097957413553
336,1984,Brazil,63.4806748247174
337,1985,Brazil,62.786616019583455
338,1986,Brazil,62.03812281798851
339,1987,Brazil,61.237251216840036
340,1988,Brazil,60.365237810065686
341,1989,Brazil,59.435542942815566
342,1990,Brazil,58.44510051879733
343,1991,Brazil,57.371975090299735
344,1992,Brazil,56.213395333002126
345,1993,Brazil,54.99071546131942
346,1994,Brazil,53.733437098534175
347,1995,Brazil,52.45644817025325
348,1996,Brazil,51.166804006560184
349,1997,Brazil,49.87301390293851
350,1998,Brazil,48.60222898399517
351,1999,Brazil,47.35755553312787
352,2000,Brazil,46.13825913454957
353,2001,Brazil,44.96027017923295
354,2002,Brazil,43.81615511162226
355,2003,Brazil,42.69897322981438
356,2004,Brazil,41.641437841735346
357,2005,Brazil,40.66333406140195
358,2006,Brazil,39.73905986887351
359,2007,Brazil,38.849430520708154
360,2008,Brazil,37.969992617006845
361,2009,Brazil,37.09334638217104
362,2010,Brazil,36.22435135203024
363,2011,Brazil,35.37080694213538
364,2012,Brazil,34.53760107645415
365,2013,Brazil,33.72009382312028
366,2014,Brazil,32.97324128932272
367,2015,Brazil,32.32620183461105
368,2016,Brazil,31.711878405431214
369,2017,Brazil,31.146517594813904
370,2018,Brazil,30.692081730133935
371,2019,Brazil,30.26809275062198
372,2020,Brazil,29.817427989957878
373,2021,Brazil,29.394929645310818
374,2022,Brazil,29.02037861920292
375,2023,Brazil,28.664115703566484
376,2024,Brazil,28.31717648258151
377,2025,Brazil,27.980880740323023
378,2026,Brazil,27.657223459073236
379,2027,Brazil,27.354072519104932
380,2028,Brazil,27.072795481798423
381,2029,Brazil,26.778506061373015
382,2030,Brazil,26.454498332049837
383,2031,Brazil,26.161956687770072
384,2032,Brazil,25.884885010328347
385,2033,Brazil,25.572275139154616
386,2034,Brazil,25.278795085513178
387,2035,Brazil,25.05200823443476
388,2036,Brazil,24.86981924392048
389,2037,Brazil,24.70684224755083
390,2038,Brazil,24.557270294270435
391,2039,Brazil,24.416102691898477
392,2040,Brazil,24.28534192847772
393,2041,Brazil,24.157994382243036
394,2042,Brazil,24.038769694769076
395,2043,Brazil,23.9341405148815
396,2044,Brazil,23.846589566490927
397,2045,Brazil,23.774252772231435
398,2046,Brazil,23.714259576624812
399,2047,Brazil,23.6704639626444
400,2048,Brazil,23.63833660403765
401,2049,Brazil,23.61042544373908
402,2050,Brazil,23.582137888809427
403,2051,Brazil,23.55286289933775
404,2052,Brazil,23.52680540867277
405,2053,Brazil,23.508414344474225
406,2054,Brazil,23.49097106090438
407,2055,Brazil,23.471063384226156
408,2056,Brazil,23.45187653730966
409,2057,Brazil,23.438301638771947
410,2058,Brazil,23.436435570555865
411,2059,Brazil,23.436217238444296
412,2060,Brazil,23.436682729995123
413,2061,Brazil,23.443642188994517
414,2062,Brazil,23.453268275525826
415,2063,Brazil,23.46496052217618
416,2064,Brazil,23.478108308499024
417,2065,Brazil,23.493626333723213
418,2066,Brazil,23.509301982809447
419,2067,Brazil,23.517592965597835
420,2068,Brazil,23.512323025050545
421,2069,Brazil,23.506379147115062
422,2070,Brazil,23.510526858102416
423,2071,Brazil,23.522792252933453
424,2072,Brazil,23.529497685385465
425,2073,Brazil,23.52047713431162
426,2074,Brazil,23.513768175486565
427,2075,Brazil,23.510015420872783
428,2076,Brazil,23.505818400036517
429,2077,Brazil,23.50093620816745
430,2078,Brazil,23.49151432912374
431,2079,Brazil,23.490086417129447
432,2080,Brazil,23.498673261658677
433,2081,Brazil,23.501127374686977
434,2082,Brazil,23.50135558241194
435,2083,Brazil,23.51850094909432
436,2084,Brazil,23.537308042271672
437,2085,Brazil,23.538311249792745
438,2086,Brazil,23.53088073780833
439,2087,Brazil,23.527211295080246
440,2088,Brazil,23.531625497068696
441,2089,Brazil,23.54043314729181
442,2090,Brazil,23.547404313799795
443,2091,Brazil,23.552225830703293
444,2092,Brazil,23.558438508320037
445,2093,Brazil,23.56648826066074
446,2094,Brazil,23.57257962536357
447,2095,Brazil,23.581753243816657
448,2096,Brazil,23.60043403648307
449,2097,Brazil,23.624957382958566
450,2098,Brazil,23.644203264449025
451,2099,Brazil,23.658101296939492
452,2100,Brazil,23.67144469894491
453,1950,China,57.82863286003983
454,1951,China,59.06028275585644
455,1952,China,60.72909548251649
456,1953,China,62.646708875157366
457,1954,China,64.60379477538262
458,1955,China,66.69747321064479
459,1956,China,68.44943577717196
460,1957,China,70.3804506545124
461,1958,China,72.35687051747142
462,1959,China,73.06576988871471
463,1960,China,72.44761974492187
464,1961,China,71.23868049217249
465,1962,China,71.24114723093169
466,1963,China,73.12447559332463
467,1964,China,74.88404587592616
468,1965,China,75.59424553681212
469,1966,China,75.78842651634268
470,1967,China,75.16189812312875
471,1968,China,74.52778800931436
472,1969,China,74.28902467035803
473,1970,China,73.82203406570895
474,1971,China,73.44301406574792
475,1972,China,72.70074059529104
476,1973,China,71.99640930681288
477,1974,China,72.10807740117964
478,1975,China,72.40842643523825
479,1976,China,72.53815808082899
480,1977,China,71.14006811502442
481,1978,China,67.46533721140543
482,1979,China,63.72390442308934
483,1980,China,60.73039324903776
484,1981,China,58.109136553420136
485,1982,China,56.11682273238083
486,1983,China,53.88794031291185
487,1984,China,51.30691670753833
488,1985,China,49.03816131202326
489,1986,China,47.19564614448941
490,1987,China,45.921039853644814
491,1988,China,44.891119735874774
492,1989,China,44.123985141708424
493,1990,China,43.88424171710351
494,1991,China,43.6667857499785
495,1992,China,43.243847575074604
496,1993,China,42.824042694662765
497,1994,China,42.22603139768165
498,1995,China,41.42445357813174
499,1996,China,40.44134615162282
500,1997,China,39.197313248863495
501,1998,China,38.019020264878314
502,1999,China,36.96336361484112
503,2000,China,35.7921500355808
504,2001,China,34.421247513101186
505,2002,China,32.79687614740606
506,2003,China,31.200672590580393
507,2004,China,29.69545329000713
508,2005,China,28.15215527378602
509,2006,China,26.971552538278658
510,2007,China,26.293812933822792
511,2008,China,25.82958267425249
512,2009,China,25.51828913753404
513,2010,China,25.304887919742107
514,2011,China,25.171964788926942
515,2012,China,25.199756867024586
516,2013,China,25.33061521346343
517,2014,China,25.49907884909888
518,2015,China,25.62929713306775
519,2016,China,25.77049779284505
520,2017,China,26.050884432434806
521,2018,China,26.223740134874348
522,2019,China,26.19400591685208
523,2020,China,25.98154981910022
524,2021,China,25.538474813536173
525,2022,China,24.983894887173772
526,2023,China,24.349609965931656
527,2024,China,23.59331031633131
528,2025,China,22.78297469148836
529,2026,China,21.970372127886208
530,2027,China,21.146155447266832
531,2028,China,20.41199407241804
532,2029,China,19.7179625468973
533,2030,China,19.035064448290047
534,2031,China,18.359730318121912
535,2032,China,17.59755332828896
536,2033,China,17.012232736579495
537,2034,China,16.671422413077195
538,2035,China,16.52755369178462
539,2036,China,16.616079921364072
540,2037,China,16.792612364405556
541,2038,China,16.98783275492061
542,2039,China,17.190667241061874
543,2040,China,17.385392974542977
544,2041,China,17.57866485670462
545,2042,China,17.774172451284706
546,2043,China,17.97165163825722
547,2044,China,18.189823790109024
548,2045,China,18.42966830889619
549,2046,China,18.680648990732625
550,2047,China,18.94898251101487
551,2048,China,19.19036642265915
552,2049,China,19.39138418724992
553,2050,China,19.584659838624006
554,2051,China,19.769977487905187
555,2052,China,19.94863331511789
556,2053,China,20.08264398760065
557,2054,China,20.164554786231914
558,2055,China,20.224714765758595
559,2056,China,20.187052091508743
560,2057,China,20.019405464587237
561,2058,China,19.795009348068888
562,2059,China,19.532021854786088
563,2060,China,19.24591962375907
564,2061,China,18.95845639052728
565,2062,China,18.673500328268386
566,2063,China,18.404532909299395
567,2064,China,18.169342715669284
568,2065,China,17.989589922121844
569,2066,China,17.864887874621306
570,2067,China,17.785892963649204
571,2068,China,17.755597565746488
572,2069,China,17.7824126527003
573,2070,China,17.875623960237295
574,2071,China,18.031571614776475
575,2072,China,18.24676959551807
576,2073,China,18.51162183255233
577,2074,China,18.822840168400564
578,2075,China,19.165670612150663
579,2076,China,19.514029636344002
580,2077,China,19.891941611573085
581,2078,China,20.28315203267136
582,2079,China,20.66307376512378
583,2080,China,21.021118696259357
584,2081,China,21.358773127837726
585,2082,China,21.70313396275804
586,2083,China,21.969211889141445
587,2084,China,22.123435854842402
