,Time,Country,Young and Old to Working Age Dependency Ratio
100,2050,Afghanistan,54.9967136929294
101,2051,Afghanistan,54.41389386521055
102,2052,Afghanistan,53.858329261292134
103,2053,Afghanistan,53.33754173719484
104,2054,Afghanistan,52.85853724548021
105,2055,Afghanistan,52.42121402166471
106,2056,Afghanistan,52.02072323004384
107,2057,Afghanistan,51.655585081911596
108,2058,Afghanistan,51.32796897681152
109,2059,Afghanistan,51.02549154355776
110,2060,Afghanistan,50.74690122019908
111,2061,Afghanistan,50.48904143655584
112,2062,Afghanistan,50.242488216048145
113,2063,Afghanistan,50.015538965473105
114,2064,Afghanistan,49.81818573492074
115,2065,Afghanistan,49.64064560837363
116,2066,Afghanistan,49.48083776036795
117,2067,Afghanistan,49.352656417493584
118,2068,Afghanistan,49.25155227307673
119,2069,Afghanistan,49.15540199099708
120,2070,Afghanistan,49.047204210254904
121,2071,Afghanistan,48.960311569951045
122,2072,Afghanistan,48.905355244574395
123,2073,Afghanistan,48.81720546514816
124,2074,Afghanistan,48.71662051052959
125,2075,Afghanistan,48.649600056899104
126,2076,Afghanistan,48.60489751043115
127,2077,Afghanistan,48.61950376983533
128,2078,Afghanistan,48.69223685062659
129,2079,Afghanistan,48.79335869773991
130,2080,Afghanistan,48.93723454207355
131,2081,Afghanistan,49.10015364394283
132,2082,Afghanistan,49.2584474107899
133,2083,Afghanistan,49.4300188741404
134,2084,Afghanistan,49.63252897062183
135,2085,Afghanistan,49.866560504501386
136,2086,Afghanistan,50.1315113208864
137,2087,Afghanistan,50.41238835013687
138,2088,Afghanistan,50.69276462558005
139,2089,Afghanistan,50.9758606315573
140,2090,Afghanistan,51.255661877157685
141,2091,Afghanistan,51.529323964276315
142,2092,Afghanistan,51.80150193591672
143,2093,Afghanistan,52.07722321897885
144,2094,Afghanistan,52.346778721692466
145,2095,Afghanistan,52.61452699363457
146,2096,Afghanistan,52.887689087370795
147,2097,Afghanistan,53.152947420392636
148,2098,Afghanistan,53.41220175753265
149,2099,Afghanistan,53.670994335774665
150,2100,Afghanistan,53.93492160978539
151,1950,Bangladesh,81.972082629824
152,1951,Bangladesh,81.23320950570174
153,1952,Bangladesh,80.65795620239328
154,1953,Bangladesh,80.29215578615003
155,1954,Bangladesh,80.1596660842416
156,1955,Bangladesh,80.23563459109191
157,1956,Bangladesh,80.46934217372524
158,1957,Bangladesh,80.84942772246902
159,1958,Bangladesh,81.43536551930453
160,1959,Bangladesh,82.09448390405966
161,1960,Bangladesh,82.72287543228896
162,1961,Bangladesh,83.43761312317885
163,1962,Bangladesh,84.30713495358607
164,1963,Bangladesh,85.41611298115701
165,1964,Bangladesh,86.73002084258836
166,1965,Bangladesh,87.8812944157399
167,1966,Bangladesh,88.83048584827107
168,1967,Bangladesh,89.73517800647309
169,1968,Bangladesh,90.56178064926247
170,1969,Bangladesh,91.40941422831243
171,1970,Bangladesh,92.06483417198244
172,1971,Bangladesh,92.82096818560808
173,1972,Bangladesh,93.73922012473679
174,1973,Bangladesh,94.33819773279993
175,1974,Bangladesh,94.70240597486116
176,1975,Bangladesh,94.60943343385073
