,Time,Country,Old to Working Age Dependency Ratio
62,2012,Afghanistan,4.76723400785473
63,2013,Afghanistan,4.737487625049845
64,2014,Afghanistan,4.69079990250444
65,2015,Afghanistan,4.644245638007497
66,2016,Afghanistan,4.606350886700886
67,2017,Afghanistan,4.5726866095477074
68,2018,Afghanistan,4.551607151541069
69,2019,Afghanistan,4.536898608427932
70,2020,Afghanistan,4.494555006056462
71,2021,Afghanistan,4.437874024231949
72,2022,Afghanistan,4.395297923325643
73,2023,Afghanistan,4.373905973365697
74,2024,Afghanistan,4.380925787749308
75,2025,Afghanistan,4.407218069217127
76,2026,Afghanistan,4.445344700580325
77,2027,Afghanistan,4.485623870832824
78,2028,Afghanistan,4.527561426021818
79,2029,Afghanistan,4.573941238898318
80,2030,Afghanistan,4.624038552042099
81,2031,Afghanistan,4.67985430064054
82,2032,Afghanistan,4.743272039566918
83,2033,Afghanistan,4.812390462220082
84,2034,Afghanistan,4.886595225032296
85,2035,Afghanistan,4.964743490589117
86,2036,Afghanistan,5.04573175678882
87,2037,Afghanistan,5.130140908352831
88,2038,Afghanistan,5.2187076572673154
89,2039,Afghanistan,5.311821109022731
90,2040,Afghanistan,5.408348382093539
91,2041,Afghanistan,5.506359069353656
92,2042,Afghanistan,5.606057956733234
93,2043,Afghanistan,5.706929363990642
94,2044,Afghanistan,5.8084197090479535
95,2045,Afghanistan,5.910002230776764
96,2046,Afghanistan,6.011042401299632
97,2047,Afghanistan,6.111727247761706
98,2048,Afghanistan,6.214200723795276
99,2049,Afghanistan,6.322271952086061
100,2050,Afghanistan,6.442240502395757
101,2051,Afghanistan,6.579638865808657
102,2052,Afghanistan,6.733553883180443
103,2053,Afghanistan,6.90374918174045
104,2054,Afghanistan,7.091262303753193
105,2055,Afghanistan,7.296504867086487
106,2056,Afghanistan,7.52173891474416
107,2057,Afghanistan,7.767636958897817
108,2058,Afghanistan,8.032995560069338
109,2059,Afghanistan,8.316784694837072
110,2060,Afghanistan,8.615757532352621
111,2061,Afghanistan,8.92625202351105
112,2062,Afghanistan,9.24510785157481
113,2063,Afghanistan,9.570640245835579
114,2064,Afghanistan,9.904180546473475
115,2065,Afghanistan,10.244823730085018
116,2066,Afghanistan,10.591818241174057
117,2067,Afghanistan,10.945347339752951
118,2068,Afghanistan,11.302749217543504
119,2069,Afghanistan,11.659865760822791
120,2070,Afghanistan,12.012769270192575
121,2071,Afghanistan,12.372969877040045
122,2072,Afghanistan,12.743853444712084
123,2073,Afghanistan,13.077925404096947
124,2074,Afghanistan,13.386208249170872
125,2075,Afghanistan,13.709584182301887
126,2076,Afghanistan,14.036460911691231
127,2077,Afghanistan,14.38733383447944
128,2078,Afghanistan,14.770849074523918
129,2079,Afghanistan,15.168688074010989
130,2080,Afghanistan,15.586335937091262
131,2081,Afghanistan,16.01232734077778
132,2082,Afghanistan,16.433857362921188
133,2083,Afghanistan,16.86252176840661
134,2084,Afghanistan,17.302593809974642
135,2085,Afghanistan,17.755209835721615
136,2086,Afghanistan,18.22868634966457
137,2087,Afghanistan,18.714135496661264
